,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
1,"如果可以 - 電影""月老""主題曲","如果可以 (電影""月老""主題曲)",https://open.spotify.com/album/6CGKNcn63JbPWljHtQi1L0,WeiBird,72,2021-11-05,https://open.spotify.com/track/72OVnXDzugvrCU25lMi9au,274400,False
2,嘉宾,嘉宾,https://open.spotify.com/album/1orkuJNHCx51s1B0lWh3Ta,张远,71,2020-10-26,https://open.spotify.com/track/1IVj6CsBbTgOEpo0W6hgwN,333628,False
3,飞鸟和蝉,Ren然,https://open.spotify.com/album/2eAqOiX0rfSelLMLDfz3RT,Ren Ran,69,2021-07-27,https://open.spotify.com/track/6XBL9naPxZjATbmGAWGJ9V,296006,False
4,烏梅子醬,縱橫四海,https://open.spotify.com/album/2FbkaXZl2bM5YU7sZYkL6Q,Ronghao Li,68,2022-12-21,https://open.spotify.com/track/4p9jbhD6N7HpuECGusu6iT,257251,False
5,年少有為,耳朵,https://open.spotify.com/album/0EcIAelkxuOa5hc3XvxyXy,Ronghao Li,66,2018-10-17,https://open.spotify.com/track/6XY80Ofqd8j0SGiEdRLwCp,279146,False
6,說謊,感官/世界,https://open.spotify.com/album/690d0vPNUJFb3DokGkpxKd,Yoga Lin,57,2009-10-30,https://open.spotify.com/track/0hmQhwGbidV0hAxXwO1lKP,264160,False
7,从前说,从前说,https://open.spotify.com/album/3XKhqXwWo2nHfTCsvYkmtq,小阿七,71,2021-12-29,https://open.spotify.com/track/3t5edAHbyFEW67wFApp7EO,251501,False
8,烏梅子醬,烏梅子醬,https://open.spotify.com/album/14M5K4fg1N4pAXtFPb6ZtN,Ronghao Li,67,2022-11-21,https://open.spotify.com/track/7gxBUjMQY9iAozVktMKEp7,257251,False
9,字字句句,字字句句,https://open.spotify.com/album/5aQMO1ltAoQotkfPCOy0jn,卢卢快闭嘴,69,2022-12-29,https://open.spotify.com/track/7fAdinC2UTc0Y9GiKrkTtu,200000,False
10,后继者,后继者,https://open.spotify.com/album/1gjVxrpP0uRWAv4dV4YhGy,Ren Ran,66,2016-11-23,https://open.spotify.com/track/5vqYJFxGOZ2nfdR1YpwI74,242660,False
11,"不將就 (電影""何以笙簫默""片尾曲)",有理想,https://open.spotify.com/album/3ykTa8oJzxd7n6vplb3VTl,Ronghao Li,63,2016-01-22,https://open.spotify.com/track/5DH8nF7aWoXXg5Sm3gjCWD,312997,False
12,勇气,勇气,https://open.spotify.com/album/0CVoVI7UnycE7lcKcKqoeU,棉子,66,2020-03-22,https://open.spotify.com/track/5rY7xc2h5Imj6iFn97h8Qj,241711,False
13,0321,0321,https://open.spotify.com/album/1BoE1TWkVoegvrUClT0YcB,space x,69,2021-05-25,https://open.spotify.com/track/1pbb71pOKB5iqfkju4NmPj,194743,False
14,你的答案,你的答案,https://open.spotify.com/album/05nfv9HHHKkKWoNDGQSNNb,阿冗,66,2019-11-06,https://open.spotify.com/track/4QWSICaQ6LGmcS8qX9lNVh,219874,False
15,小城夏天,小城夏天,https://open.spotify.com/album/2gBtz9cBcRTBvsux9pv9KF,LBI利比,68,2022-04-02,https://open.spotify.com/track/4QZMBVrBLAvBryj8ZJIIY2,173382,False
16,雪 Distance,Uniconfication,https://open.spotify.com/album/7xlWrNZ5NHxhQz9hHFqgbv,Capper,69,2023-03-01,https://open.spotify.com/track/0EpH84Gd5z9xDavnWowfaC,165989,False
17,兜圈,必娶女人 (電視原聲帶),https://open.spotify.com/album/1ya4Ry2bGTM10Vhe948gew,Various Artists,56,2015-11-20,https://open.spotify.com/track/5CcqjfODDoSpI1xuTg9NCC,243733,False
