,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
1,Cupid - Twin Ver.,The Beginning: Cupid,https://open.spotify.com/album/5letLUZIFsQikJYShfGNs4,FIFTY FIFTY,98,2023-02-24,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7,174253,False
2,Like Crazy,FACE,https://open.spotify.com/album/4xc3Lc9yASZgEJGH7acWMB,Jimin,96,2023-03-24,https://open.spotify.com/track/3Ua0m0YmEjrMi9XErKcNiR,212241,False
3,MONEY,LALISA,https://open.spotify.com/album/4ASxFYWyk2216OloHoaSh8,LISA,96,2021-09-10,https://open.spotify.com/track/45OX2jjEw1l7lOFJfDP9fv,168227,False
4,Take Two,Take Two,https://open.spotify.com/album/3jeQDa9OFZ6GndLindHx3k,BTS,95,2023-06-09,https://open.spotify.com/track/5IAESfJjmOYu7cHyX557kz,229953,False
5,Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX,Jung Kook,97,2023-07-14,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo,184400,True
6,Like Crazy,Like Crazy (Remixes),https://open.spotify.com/album/639nejcoHHwxJCKqr35ww2,Jimin,93,2023-03-26,https://open.spotify.com/track/58BWnoFDNaeM0vwA0K3fqb,212241,False
7,Super Shy,NewJeans 'Super Shy',https://open.spotify.com/album/5V729UqvhwNOcMejx0m55I,NewJeans,93,2023-07-07,https://open.spotify.com/track/5sdQOyqq2IDhvmx2lHOpwd,154666,False
8,OMG,NewJeans 'OMG',https://open.spotify.com/album/45ozep8uHHnj5CCittuyXj,NewJeans,92,2023-01-02,https://open.spotify.com/track/65FftemJ1DbbZ45DUfHJXE,212253,False
9,Seven (feat. Latto) (Clean Ver.),Seven (feat. Latto),https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX,Jung Kook,93,2023-07-14,https://open.spotify.com/track/5Avril3IZ26DPVFHbJX8o6,184160,False
10,Still With You,Still With You,https://open.spotify.com/album/0i3baFZqWSrjjgTWrhKunB,Jung Kook,91,2020-06-05,https://open.spotify.com/track/0eFMbKCRw8KByXyWBw8WO7,239905,False
11,Ditto,Ditto,https://open.spotify.com/album/7bnqo1fdJU9nSfXQd3bSMe,NewJeans,89,2022-12-19,https://open.spotify.com/track/3r8RuvgbX9s7ammBn07D3W,185506,False
12,Bite Me,DARK BLOOD,https://open.spotify.com/album/7q65W5gVANjh1j1KXLeU0f,ENHYPEN,89,2023-05-22,https://open.spotify.com/track/7mpdNiaQvygj2rHoxkzMfa,157531,False
13,Hype Boy,NewJeans 1st EP 'New Jeans',https://open.spotify.com/album/1HMLpmZAnNyl9pxvOnTovV,NewJeans,88,2022-08-01,https://open.spotify.com/track/0a4MMyCrzT0En247IhqZbD,179026,False
14,UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,https://open.spotify.com/album/4Oz7K9DRwwGMN49i4NbVDT,LE SSERAFIM,88,2023-05-01,https://open.spotify.com/track/51vRumtqbkNW9wrKfESwfu,182148,False
15,Super,SEVENTEEN 10th Mini Album 'FML',https://open.spotify.com/album/1JBzeeCJ3axQMVkqWbKh0I,SEVENTEEN,87,2023-04-24,https://open.spotify.com/track/3AOf6YEpxQ894FmrwI9k96,200386,False
16,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],https://open.spotify.com/album/0gr5OmB74UhoANEXwYT3gE,Jung Kook,88,2022-11-20,https://open.spotify.com/track/1RDvyOk4WtPCtoqciJwVn8,201391,False
17,My You,My You,https://open.spotify.com/album/2JtVLn2oCVjOik77fh75uU,Jung Kook,88,2022-06-13,https://open.spotify.com/track/0pNFrM5L0te1EXGxveeYiR,165070,False
18,New Jeans,NewJeans 'Super Shy',https://open.spotify.com/album/5V729UqvhwNOcMejx0m55I,NewJeans,88,2023-07-07,https://open.spotify.com/track/6rdkCkjk6D12xRpdMXy0I2,108986,False
19,FLOWER,ME,https://open.spotify.com/album/2xvV55nQYyhozbXtbqwPql,JISOO,87,2023-03-31,https://open.spotify.com/track/0bC7GKnxh9W9JIvJ6HVWxc,174216,False
20,Like Crazy (English Version),FACE,https://open.spotify.com/album/4xc3Lc9yASZgEJGH7acWMB,Jimin,87,2023-03-24,https://open.spotify.com/track/0u8rZGtXJrLtiSe34FPjGG,212253,False
21,Cupid,The Beginning: Cupid,https://open.spotify.com/album/5letLUZIFsQikJYShfGNs4,FIFTY FIFTY,86,2023-02-24,https://open.spotify.com/track/5mg3VB3Qh7jcR5kAAC4DSV,174253,False
22,"Eve, Psyche & The Bluebeard’s wife",UNFORGIVEN,https://open.spotify.com/album/4Oz7K9DRwwGMN49i4NbVDT,LE SSERAFIM,86,2023-05-01,https://open.spotify.com/track/4QhnNyKDsAkXPwHkSnuc89,185538,False
23,The Astronaut,The Astronaut,https://open.spotify.com/album/6nT2VfGN07ar1vdZyJY6ox,JIN,86,2022-10-28,https://open.spotify.com/track/0h7QMc9ZRzA9QJrbEHytn2,282463,False
24,Attention,NewJeans 1st EP 'New Jeans',https://open.spotify.com/album/1HMLpmZAnNyl9pxvOnTovV,NewJeans,85,2022-08-01,https://open.spotify.com/track/2pIUpMhHL6L9Z5lnKxJJr9,180066,False
25,The Planet,The Planet,https://open.spotify.com/album/7uaI73cqw8YC2ViewZAai5,BTS,85,2023-05-12,https://open.spotify.com/track/4IJsVXbSeGPUrgwpVoHmlg,178156,False
26,Run BTS,Proof,https://open.spotify.com/album/6al2VdKbb6FIz9d7lU7WRB,BTS,85,2022-06-10,https://open.spotify.com/track/69xohKu8C1fsflYAiSNbwM,204939,False
